file,skill,actions
prd-writer-what-engineers-see.html,prd-writer,L1 present | L2 present
prd-writer.html,prd-writer,L1 present | L2 present
dialogue-character-film-prompt.html,dialogue-character-film-prompt,L1 present | L2 present
why-ai-dialogue-sounds-flat.html,dialogue-character-film-prompt,L1 present | L2 present
architecture-diagram-prompt.html,architecture-diagram-prompt,L1 present | L2 present
why-your-architecture-diagram-confuses-everyone.html,architecture-diagram-prompt,L1 present | L2 present
logo-brand-identity-why-generic-ai-fails.html,logo-brand-identity,L1 present | L2 present
logo-brand-identity.html,logo-brand-identity,L1 present | L2 present
performance-review-writer-why-generic-reviews-backfire.html,performance-review-writer,L1 present | L2 present
performance-review-writer.html,performance-review-writer,L1 present | L2 present
social-media-carousel-prompt.html,social-media-carousel-prompt,L1 present | L2 present
why-your-carousel-slides-get-scrolled-past.html,social-media-carousel-prompt,L1 present | L2 present
health-wellness-plan-why-generic-fails.html,health-wellness-plan,L1 present | L2 present
health-wellness-plan.html,health-wellness-plan,L1 present | L2 present
travel-itinerary-planner.html,travel-itinerary-planner,L1 present | L2 present
why-ai-travel-itineraries-feel-generic.html,travel-itinerary-planner,L1 present | L2 present
recipe-development-prompt-why-generic-ai-recipes-fail.html,recipe-development-prompt,L1 present | L2 present
recipe-development-prompt.html,recipe-development-prompt,L1 present | L2 present
home-renovation-brief-why-generic-ai-fails-contractors.html,home-renovation-brief,L1 present | L2 present
home-renovation-brief.html,home-renovation-brief,L1 present | L2 present
eulogy-writer.html,eulogy-writer,L1 present | L2 present
what-a-generic-ai-eulogy-sounds-like.html,eulogy-writer,L1 present | L2 present
