file,type,status
ai-video-prompt.html,skill,OK
brand-ad-copy.html,skill,SKIP — already patched
financial-model-prompt.html,skill,SKIP — already patched
pitch-deck-narrative.html,skill,SKIP — already patched
ugc-ad-creator.html,skill,SKIP — already patched
ai-animation-film-prompt.html,skill,SKIP — already patched
architecture-diagram-prompt.html,skill,SKIP — already patched
brand-voice-guide.html,skill,SKIP — already patched
course-curriculum-builder.html,skill,SKIP — already patched
dialogue-character-film-prompt.html,skill,SKIP — already patched
grant-and-proposal-writing.html,skill,SKIP — already patched
nda-contract-draft.html,skill,SKIP — already patched
prd-writer.html,skill,SKIP — already patched
product-ad-film-prompt.html,skill,SKIP — already patched
tos-privacy-policy.html,skill,SKIP — already patched
university-sop.html,skill,SKIP — already patched
video-script-engine.html,skill,SKIP — already patched
book-cover-prompt.html,skill,SKIP — already patched
business-plan.html,skill,SKIP — already patched
childrens-book-prompt.html,skill,SKIP — already patched
cold-outreach-email.html,skill,SKIP — already patched
conference-abstract.html,skill,SKIP — already patched
content-calendar.html,skill,SKIP — already patched
cover-letter-writer.html,skill,SKIP — already patched
ecommerce-product-listing.html,skill,SKIP — already patched
email-newsletter-engine.html,skill,SKIP — already patched
eulogy-writer.html,skill,SKIP — already patched
event-speech-writer.html,skill,SKIP — already patched
exam-paper-generator.html,skill,SKIP — already patched
festival-holiday-greeting-prompt.html,skill,SKIP — already patched
health-wellness-plan.html,skill,SKIP — already patched
home-renovation-brief.html,skill,SKIP — already patched
hotel-airbnb-listing-copy.html,skill,SKIP — already patched
investor-update-email.html,skill,SKIP — already patched
job-description-writer.html,skill,SKIP — already patched
lesson-plan-builder.html,skill,SKIP — already patched
linkedin-post-engine.html,skill,SKIP — already patched
logo-brand-identity-prompt.html,skill,SKIP — already patched
menu-description-copy.html,skill,SKIP — already patched
performance-review-writer.html,skill,SKIP — already patched
podcast-episode-script.html,skill,SKIP — already patched
podcast-show-notes.html,skill,SKIP — already patched
poetry-verse-prompt.html,skill,SKIP — already patched
pr-press-release.html,skill,SKIP — already patched
product-photography-prompt.html,skill,SKIP — already patched
real-estate-listing-copy.html,skill,SKIP — already patched
real-estate-photo-prompt.html,skill,SKIP — already patched
recipe-development-prompt.html,skill,SKIP — already patched
research-paper-outline.html,skill,SKIP — already patched
resume-cv-builder.html,skill,SKIP — already patched
sales-landing-page-copy.html,skill,SKIP — already patched
screenplay-script.html,skill,SKIP — already patched
seo-blog-post-brief.html,skill,SKIP — already patched
short-story-prompt.html,skill,SKIP — already patched
social-content-engine.html,skill,SKIP — already patched
social-media-carousel-prompt.html,skill,SKIP — already patched
travel-itinerary-planner.html,skill,SKIP — already patched
twitter-x-thread-engine.html,skill,SKIP — already patched
visa-cover-letter.html,skill,SKIP — already patched
webinar-online-event-script.html,skill,SKIP — already patched
wedding-invitation-prompt.html,skill,SKIP — already patched
wedding-vows-writer.html,skill,SKIP — already patched
youtube-thumbnail-prompt.html,skill,SKIP — already patched
creative-bundle.html,bundle,SKIP — already patched
creator-bundle.html,bundle,SKIP — already patched
educator-bundle.html,bundle,SKIP — already patched
founder-bundle.html,bundle,SKIP — already patched
legal-biz-bundle.html,bundle,SKIP — already patched
marketing-bundle.html,bundle,SKIP — already patched
realtor-bundle.html,bundle,SKIP — already patched
student-bundle.html,bundle,SKIP — already patched
video-pod-bundle.html,bundle,SKIP — already patched
wedding-bundle.html,bundle,SKIP — already patched
